# FILLET Exp1 with HEXTOR - using cloudir = -6.3 to stay consistent with Ben2 and Ben3
# Compile all cases into a list

# Name of benchmark/experiment: Experiment 1
# Describe how ice line latitude is determined: ice line occurs if zonal average temperature is less than or equal to 263

# Columns of data
# Case = case number (0 -> total number of cases in experiment)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
# IceLineNMin = latitude of southern edge of ice in northern hemisphere (deg)
# IceLineSMax = latitude of northern edge of ice in southern hemisphere (deg)
# IceLineSMin = latitude of southern edge of ice in southern hemisphere (deg)
# Diff = diffusion coefficient
# OLR = global, annual mean outgoing longwave radiation

# Examples for IceLine max and min:
# Polar caps: IceLineNMax = 90, IceLineNMin = 60, IceLineSMax = -60, IceLineSMin = -90
# Snowball state: IceLineNMax = 90, IceLineNMin = 0, IceLineSMax = 0, IceLineSMin = -90
# Ice free state: IceLineNMax = 90, IceLineNMin = 90, IceLineSMax = -90, IceLineSMin = -90
# Ice belt: IceLineNMax = 30, IceLineNMin = 0, IceLineSMax = 0, IceLineSMin = -30
# Note ice belt doesn't really have "edges" at 0 deg, but record as 0 anyway to
# keep the columns the same length

# Case Inst Obl XCO2 Tglob IceLineNMax IceLineNMin IceLineSMax IceLineSMin Diff OLRglob
0 0.80  0.0    280.0 210.31 90.0  0.0    0.0 -90.00 0.50 105.24
1 0.80 10.0    280.0 210.26 90.0  0.0    0.0 -90.00 0.50 105.29
2 0.80 20.0    280.0 210.09 90.0  0.0    0.0 -90.00 0.50 105.39
3 0.80 30.0    280.0 210.00 90.0  0.0    0.0 -90.00 0.50 105.88
4 0.80 40.0    280.0 210.10 90.0  0.0    0.0 -90.00 0.50 106.87
5 0.80 50.0    280.0 210.65 90.0  0.0    0.0 -90.00 0.50 108.73
6 0.80 60.0    280.0 211.85 90.0  0.0    0.0 -90.00 0.50 111.47
7 0.80 70.0    280.0 213.33 90.0  0.0    0.0 -90.00 0.50 114.41
8 0.80 80.0    280.0 214.29 90.0  0.0    0.0 -90.00 0.50 116.21
9 0.80 90.0    280.0 214.63 90.0  0.0    0.0 -90.00 0.50 116.86
10 0.82  0.0    280.0 212.40 90.0  0.0    0.0 -90.00 0.50 108.78
11 0.82 10.0    280.0 212.35 90.0  0.0    0.0 -90.00 0.50 108.85
12 0.82 20.0    280.0 212.20 90.0  0.0    0.0 -90.00 0.50 109.00
13 0.82 30.0    280.0 212.15 90.0  0.0    0.0 -90.00 0.50 109.58
14 0.82 40.0    280.0 212.32 90.0  0.0    0.0 -90.00 0.50 110.74
15 0.82 50.0    280.0 213.51 90.0  0.0    0.0 -90.00 0.50 113.74
16 0.82 60.0    280.0 215.16 90.0  0.0    0.0 -90.00 0.50 117.21
17 0.82 70.0    280.0 216.44 90.0  0.0    0.0 -90.00 0.50 119.72
18 0.82 80.0    280.0 217.35 90.0  0.0    0.0 -90.00 0.50 121.43
19 0.82 90.0    280.0 217.69 90.0  0.0    0.0 -90.00 0.50 122.07
20 0.85  0.0    280.0 214.47 90.0  0.0    0.0 -90.00 0.50 112.41
21 0.85 10.0    280.0 214.43 90.0  0.0    0.0 -90.00 0.50 112.50
22 0.85 20.0    280.0 214.30 90.0  0.0    0.0 -90.00 0.50 112.69
23 0.85 30.0    280.0 214.30 90.0  0.0    0.0 -90.00 0.50 113.35
24 0.85 40.0    280.0 214.59 90.0  0.0    0.0 -90.00 0.50 114.76
25 0.85 50.0    280.0 216.10 90.0  0.0    0.0 -90.00 0.50 118.31
26 0.85 60.0    280.0 218.09 90.0  0.0    0.0 -90.00 0.50 122.33
27 0.85 70.0    280.0 219.45 90.0  0.0    0.0 -90.00 0.50 124.95
28 0.85 80.0    280.0 220.42 90.0  0.0    0.0 -90.00 0.50 126.74
29 0.85 90.0    280.0 220.90 90.0  0.0    0.0 -90.00 0.50 127.60
30 0.87  0.0    280.0 216.55 90.0  0.0    0.0 -90.00 0.50 116.12
31 0.87 10.0    280.0 216.52 90.0  0.0    0.0 -90.00 0.50 116.21
32 0.87 20.0    280.0 216.41 90.0  0.0    0.0 -90.00 0.50 116.43
33 0.87 30.0    280.0 216.46 90.0  0.0    0.0 -90.00 0.50 117.21
34 0.87 40.0    280.0 217.08 90.0  0.0    0.0 -90.00 0.50 119.26
35 0.87 50.0    280.0 219.25 90.0  0.0    0.0 -90.00 0.50 123.94
36 0.87 60.0    280.0 221.06 90.0  0.0    0.0 -90.00 0.50 127.56
37 0.87 70.0    280.0 222.48 90.0  0.0    0.0 -90.00 0.50 130.25
38 0.87 80.0    280.0 224.68 90.0  0.0    0.0 -90.00 0.50 134.29
39 0.87 90.0    280.0 225.19 90.0  0.0    0.0 -90.00 0.50 135.21
40 0.90  0.0    280.0 218.64 90.0  0.0    0.0 -90.00 0.50 119.87
41 0.90 10.0    280.0 218.62 90.0  0.0    0.0 -90.00 0.50 119.98
42 0.90 20.0    280.0 218.53 90.0  0.0    0.0 -90.00 0.50 120.25
43 0.90 30.0    280.0 218.64 90.0  0.0    0.0 -90.00 0.50 121.16
44 0.90 40.0    280.0 219.78 90.0  0.0    0.0 -90.00 0.50 124.19
45 0.90 50.0    280.0 222.07 90.0  0.0    0.0 -90.00 0.50 129.03
46 0.90 60.0    280.0 223.97 90.0  0.0    0.0 -90.00 0.50 132.77
47 0.90 70.0    280.0 226.70 90.0  0.0    0.0 -90.00 0.50 137.84
48 0.90 80.0    280.0 228.03 90.0  0.0    0.0 -90.00 0.50 140.31
49 0.90 90.0    280.0 228.58 90.0  0.0    0.0 -90.00 0.50 141.30
50 0.93  0.0    280.0 220.73 90.0  0.0    0.0 -90.00 0.50 123.68
51 0.93 10.0    280.0 220.72 90.0  0.0    0.0 -90.00 0.50 123.80
52 0.93 20.0    280.0 220.66 90.0  0.0    0.0 -90.00 0.50 124.15
53 0.93 30.0    280.0 220.83 90.0  0.0    0.0 -90.00 0.50 125.20
54 0.93 40.0    280.0 222.32 90.0  0.0    0.0 -90.00 0.50 128.87
55 0.93 50.0    280.0 224.89 90.0  0.0    0.0 -90.00 0.50 134.18
56 0.93 60.0    280.0 228.05 90.0  0.0    0.0 -90.00 0.50 140.20
57 0.93 70.0    280.0 230.06 90.0  0.0    0.0 -90.00 0.50 143.94
58 0.93 80.0    280.0 231.47 90.0  0.0    0.0 -90.00 0.50 146.57
59 0.93 90.0    280.0 232.15 90.0  0.0    0.0 -90.00 0.50 147.82
60 0.95  0.0    280.0 222.84 90.0  0.0    0.0 -90.00 0.50 127.57
61 0.95 10.0    280.0 222.84 90.0  0.0    0.0 -90.00 0.50 127.72
62 0.95 20.0    280.0 222.82 90.0  0.0    0.0 -90.00 0.50 128.15
63 0.95 30.0    280.0 223.06 90.0  0.0    0.0 -90.00 0.50 129.35
64 0.95 40.0    280.0 225.40 90.0  0.0    0.0 -90.00 0.50 134.62
65 0.95 50.0    280.0 228.42 90.0  0.0    0.0 -90.00 0.50 140.70
66 0.95 60.0    280.0 231.35 90.0  0.0    0.0 -90.00 0.50 146.27
67 0.95 70.0    280.0 233.40 90.0  0.0    0.0 -90.00 0.50 150.11
68 0.95 80.0    280.0 234.87 90.0  0.0    0.0 -90.00 0.50 152.87
69 0.95 90.0    280.0 235.41 90.0  0.0    0.0 -90.00 0.50 153.89
70 0.97  0.0    280.0 264.32 90.0 35.3  -35.3 -90.00 0.50 213.37
71 0.97 10.0    280.0 224.99 90.0  0.0    0.0 -90.00 0.50 131.76
72 0.97 20.0    280.0 224.99 90.0  0.0    0.0 -90.00 0.50 132.23
73 0.97 30.0    280.0 225.33 90.0  0.0    0.0 -90.00 0.50 133.63
74 0.97 40.0    280.0 228.20 90.0  0.0    0.0 -90.00 0.50 139.90
75 0.97 50.0    280.0 231.78 90.0  0.0    0.0 -90.00 0.50 146.96
76 0.97 60.0    280.0 279.64 90.0 90.0  -90.0 -90.00 0.50 246.76
77 0.97 70.0    280.0 236.89 90.0  0.0    0.0 -90.00 0.50 156.65
78 0.97 80.0    280.0 238.19 90.0  0.0    0.0 -90.00 0.50 159.15
79 0.97 90.0    280.0 238.82 90.0  0.0    0.0 -90.00 0.50 160.38
80 1.00  0.0    280.0 274.59 90.0 45.5  -45.5 -90.00 0.50 236.18
81 1.00 10.0    280.0 273.76 90.0 44.7  -44.7 -90.00 0.50 234.33
82 1.00 20.0    280.0 271.08 90.0 42.6  -42.6 -90.00 0.50 228.28
83 1.00 30.0    280.0 273.30 90.0 47.1  -47.2 -90.00 0.50 232.97
84 1.00 40.0    280.0 277.16 90.0 64.4  -64.1 -90.00 0.50 241.35
85 1.00 50.0    280.0 283.01 90.0 90.0  -90.0 -90.00 0.50 254.61
86 1.00 60.0    280.0 282.77 90.0 90.0  -90.0 -90.00 0.50 254.03
87 1.00 70.0    280.0 282.47 90.0 90.0  -90.0 -90.00 0.50 253.32
88 1.00 80.0    280.0 243.06 81.7  0.0    0.0 -78.10 0.50 168.60
89 1.00 90.0    280.0 243.65 72.0  0.0    0.0 -72.07 0.50 169.78
90 1.02  0.0    280.0 278.85 90.0 49.2  -49.2 -90.00 0.50 245.68
91 1.02 10.0    280.0 278.54 90.0 49.2  -49.2 -90.00 0.50 244.99
92 1.02 20.0    280.0 279.61 90.0 52.2  -52.2 -90.00 0.50 247.29
93 1.02 30.0    280.0 280.87 90.0 59.1  -59.1 -90.00 0.50 249.98
94 1.02 40.0    280.0 285.49 90.0 90.0  -90.0 -90.00 0.50 260.39
95 1.02 50.0    280.0 286.18 90.0 90.0  -90.0 -90.00 0.50 262.04
96 1.02 60.0    280.0 285.94 90.0 90.0  -90.0 -90.00 0.50 261.41
97 1.02 70.0    280.0 285.63 90.0 90.0  -90.0 -90.00 0.50 260.63
98 1.02 80.0    280.0 285.66 90.0 90.0  -90.0 -90.00 0.50 260.71
99 1.02 90.0    280.0 285.74 90.0 90.0  -90.0 -90.00 0.50 260.90
100 1.05  0.0    280.0 285.94 90.0 56.2  -56.2 -90.00 0.50 261.82
101 1.05 10.0    280.0 287.40 90.0 66.7  -64.0 -90.00 0.50 264.79
102 1.05 20.0    280.0 285.67 90.0 59.5  -59.4 -90.00 0.50 260.96
103 1.05 30.0    280.0 286.75 90.0 71.9  -71.6 -90.00 0.50 263.25
104 1.05 40.0    280.0 289.34 90.0 90.0  -90.0 -90.00 0.50 269.20
105 1.05 50.0    280.0 289.14 90.0 90.0  -90.0 -90.00 0.50 268.88
106 1.05 60.0    280.0 288.89 90.0 90.0  -90.0 -90.00 0.50 268.26
107 1.05 70.0    280.0 288.57 90.0 90.0  -90.0 -90.00 0.50 267.47
108 1.05 80.0    280.0 288.60 90.0 90.0  -90.0 -90.00 0.50 267.54
109 1.05 90.0    280.0 288.67 90.0 90.0  -90.0 -90.00 0.50 267.71
110 1.07  0.0    280.0 289.55 90.0 59.4  -59.4 -90.00 0.50 270.19
111 1.07 10.0    280.0 288.79 90.0 61.6  -60.2 -90.00 0.50 268.28
112 1.07 20.0    280.0 290.11 90.0 65.1  -64.9 -90.00 0.50 271.25
113 1.07 30.0    280.0 291.49 90.0 90.0  -90.0 -90.00 0.50 274.17
